lon,lat,event_no,index_start,index_peak,index_end,duration,date_start,date_peak,date_end,intensity_mean,intensity_max,intensity_var,intensity_cumulative,intensity_mean_relThresh,intensity_max_relThresh,intensity_var_relThresh,intensity_cumulative_relThresh,intensity_mean_abs,intensity_max_abs,intensity_var_abs,intensity_cumulative_abs,rate_onset,rate_decline,event_name,category,p_moderate,p_strong,p_severe,p_extreme,season
-5.1458511,35.72916,11,3460,3461,3467,8,1991-06-22,1991-06-23,1991-06-29,1.6298,1.7505,0.1067,13.0386,0.4329,0.5501,0.1018,3.4631,21.7937,21.94,0.1328,174.35,0.2238,0.1337,NA,I Moderate,100,0,0,0,Fall
-5.1458511,35.72916,12,3532,3539,3553,22,1991-09-02,1991-09-09,1991-09-23,2.0641,2.6242,0.432,45.4113,0.8543,1.4422,0.4607,18.7939,23.4609,24.32,0.6713,516.14,0.191,0.0935,Event 1991,II Strong,64,36,0,0,Winter
-5.1458511,35.72916,13,4971,4973,4975,5,1995-08-11,1995-08-13,1995-08-15,1.4479,1.5883,0.1179,7.2395,0.2273,0.3671,0.118,1.1365,23.568,23.71,0.1188,117.84,0.1706,0.1294,NA,I Moderate,100,0,0,0,Winter
-5.1458511,35.72916,14,5049,5052,5053,5,1995-10-28,1995-10-31,1995-11-01,1.411,1.4931,0.0848,7.055,0.2698,0.3658,0.104,1.3488,19.678,19.71,0.0311,98.39,0.1867,0.513,NA,I Moderate,100,0,0,0,Spring
-5.1458511,35.72916,15,5071,5075,5075,5,1995-11-19,1995-11-23,1995-11-23,1.4673,1.6175,0.2608,7.3364,0.4811,0.646,0.269,2.4054,18.776,18.94,0.2193,93.88,0.1878,0.6634,NA,I Moderate,100,0,0,0,Spring
-5.1458511,35.72916,16,5103,5126,5129,27,1995-12-21,1996-01-13,1996-01-16,1.3589,1.7711,0.3001,36.6893,0.4802,0.8985,0.3016,12.9641,17.4441,17.7,0.2364,470.99,0.0334,0.2137,Event 1996,II Strong,89,7,0,0,Summer
-5.1458511,35.72916,17,5139,5145,5157,19,1996-01-26,1996-02-01,1996-02-13,1.119,1.2534,0.0859,21.2603,0.3126,0.4477,0.088,5.9395,16.4858,16.65,0.1148,313.23,0.0515,0.0447,NA,I Moderate,100,0,0,0,Summer
-5.1458511,35.72916,18,5215,5216,5224,10,1996-04-11,1996-04-12,1996-04-20,1.146,1.3608,0.2057,11.4605,0.3309,0.5779,0.2279,3.3093,17.237,17.42,0.1457,172.37,0.3017,0.0591,NA,I Moderate,100,0,0,0,Fall
-5.1458511,35.72916,19,5262,5263,5266,5,1996-05-28,1996-05-29,1996-06-01,1.5014,1.7934,0.2707,7.5072,0.3418,0.6411,0.2716,1.7089,19.902,20.12,0.2845,99.51,0.5902,0.2083,NA,I Moderate,100,0,0,0,Fall
-5.1458511,35.72916,20,5313,5315,5321,9,1996-07-18,1996-07-20,1996-07-26,1.6157,1.8651,0.1385,14.5417,0.4665,0.7244,0.1466,4.1986,23.22,23.39,0.0886,208.98,0.2777,0.0874,NA,I Moderate,100,0,0,0,Winter
