region,year,month,pixels,surface,duration,max_int,mean_int,cum_int,I Moderate,II Strong,III Severe,IV Extreme
Adriatic Sea,1982,janv,43,0.05733333333333333,242,1.45497,1.3303384867724868,327.5066,242,0,0,0
Adriatic Sea,1982,févr,103,0.13733333333333334,427,1.146416,1.0276382284783252,418.9436,420,0,0,0
Adriatic Sea,1982,mars,90,0.12,554,1.0782295454545454,0.9442922340127002,529.9489,554,0,0,0
Adriatic Sea,1982,avril,61,0.08133333333333334,336,1.3221333333333334,1.1589704816872302,391.59749999999997,336,0,0,0
Adriatic Sea,1982,mai,1,0.0013333333333333333,1,2.1888,2.1888,2.1888,1,0,0,0
Adriatic Sea,1982,juin,24,0.032,130,2.778842105263158,2.541093540100251,332.0544,130,0,0,0
Adriatic Sea,1982,juil,193,0.25733333333333336,1036,2.370342857142857,2.0736408667286295,2182.2994,1036,0,0,0
Adriatic Sea,1982,sept,663,0.884,5697,2.4761388059701495,1.944709528862323,11384.1335,5616,37,0,0
Adriatic Sea,1982,oct,712,0.9493333333333334,6775,2.6856485074626866,1.9628606524793053,13695.788,6231,517,0,0
Adriatic Sea,1982,nov,516,0.6880000000000001,4305,2.17127094017094,1.5575217334378109,6770.1883,4237,61,0,0
Adriatic Sea,1982,déc,487,0.6493333333333333,4937,1.8870577586206896,1.409541970266857,7085.3864,4845,43,0,0
Adriatic Sea,1983,janv,195,0.26,1436,1.7783795698924731,1.416552754958537,2048.5694,1410,16,0,0
Adriatic Sea,1983,févr,104,0.13866666666666666,446,1.405368,1.1820354886554965,523.332,435,2,0,0
Adriatic Sea,1983,juin,13,0.017333333333333333,65,3.1867444444444444,2.8298988888888887,182.76930000000002,65,0,0,0
Adriatic Sea,1983,juil,85,0.11333333333333333,327,2.6516886363636365,2.441666473941605,756.7968,327,0,0,0
Adriatic Sea,1983,août,76,0.10133333333333333,175,2.1747666666666667,1.9628581746031746,347.4322,175,0,0,0
Adriatic Sea,1983,déc,1,0.0013333333333333333,5,1.7167,1.5236399999999999,7.6182,5,0,0,0
Adriatic Sea,1984,févr,6,0.008,38,0.94238,0.8448636190476191,32.5462,38,0,0,0
Adriatic Sea,1984,nov,15,0.02,35,1.3574272727272727,1.2497207575757576,46.2898,35,0,0,0
Adriatic Sea,1984,déc,329,0.43866666666666665,2426,2.064520720720721,1.5521825060827135,3927.3489,2352,70,0,0
Adriatic Sea,1985,janv,29,0.03866666666666667,107,1.4817166666666668,1.415851130952381,154.7882,107,0,0,0
Adriatic Sea,1985,févr,21,0.028,124,0.99708125,0.910369027014652,110.3753,124,0,0,0
Adriatic Sea,1985,mai,1,0.0013333333333333333,6,2.1489,1.92495,11.5497,6,0,0,0
Adriatic Sea,1985,sept,48,0.064,244,2.0932782608695653,1.899421866375297,451.8925,244,0,0,0
Adriatic Sea,1985,oct,224,0.2986666666666667,2253,2.3530074468085105,1.8598154628160906,4143.5088,2237,4,0,0
Adriatic Sea,1985,déc,11,0.014666666666666666,57,1.70275,1.5415474242424243,82.496,57,0,0,0
Adriatic Sea,1986,janv,11,0.014666666666666666,67,1.5992600000000001,1.5128850714285713,105.5475,67,0,0,0
Adriatic Sea,1986,mai,526,0.7013333333333334,5020,3.774078947368421,2.77697890284603,14381.4431,4955,63,0,0
Adriatic Sea,1986,juin,19,0.025333333333333333,19,2.0622125,2.0539958333333335,39.596,19,0,0,0
Adriatic Sea,1986,août,5,0.006666666666666666,27,2.0797499999999998,1.8071541666666666,48.014,27,0,0,0
Adriatic Sea,1986,oct,55,0.07333333333333333,351,1.5844192307692309,1.40787874618707,484.0762,351,0,0,0
Adriatic Sea,1986,nov,18,0.024,89,1.5553083333333333,1.380320949074074,126.0414,88,1,0,0
Adriatic Sea,1986,déc,96,0.128,570,1.7539972972972973,1.4066335260191443,844.4853,561,9,0,0
Adriatic Sea,1987,juil,96,0.128,516,2.255316129032258,1.990214323796766,1008.1795,516,0,0,0
Adriatic Sea,1987,sept,750,1,9727,3.2289791044776117,2.2721067209338877,22189.2613,8970,751,0,0
Adriatic Sea,1987,oct,360,0.48,1765,1.9447028301886793,1.585165431684938,2862.3425,1753,0,0,0
Adriatic Sea,1987,nov,177,0.236,1102,1.8877644444444444,1.5690535458845944,1794.7171,1077,25,0,0
Adriatic Sea,1987,déc,214,0.28533333333333333,1190,1.9385151515151515,1.495481090351359,1815.9494,1185,4,0,0
Adriatic Sea,1988,janv,412,0.5493333333333333,3583,1.8143720430107526,1.3091685091478624,4776.7084,3532,27,0,0
Adriatic Sea,1988,févr,524,0.6986666666666667,6325,1.767890291262136,1.1829165514945763,7868.9544,6176,99,0,0
Adriatic Sea,1988,juil,32,0.042666666666666665,213,2.221375,2.005648076388889,425.0535,213,0,0,0
Adriatic Sea,1988,août,15,0.02,82,2.09494,1.8553681904761905,155.5873,82,0,0,0
Adriatic Sea,1988,oct,5,0.006666666666666666,25,1.923225,1.7745125,44.8563,25,0,0,0
Adriatic Sea,1989,févr,1,0.0013333333333333333,5,1.0998000000000001,0.92524,4.6262,5,0,0,0
Adriatic Sea,1989,mars,201,0.268,791,1.5927089743589744,1.2641730746660744,1050.3182,791,0,0,0
Adriatic Sea,1989,avril,198,0.264,674,1.5920616438356163,1.3544867132849412,989.6706,674,0,0,0
Adriatic Sea,1990,févr,38,0.050666666666666665,172,1.6083136363636363,1.3821190075989074,221.1567,172,0,0,0
Adriatic Sea,1990,mars,161,0.21466666666666667,1021,1.7333117647058824,1.3992889195261158,1480.6073000000001,1021,0,0,0
Adriatic Sea,1990,mai,180,0.24,1415,3.0756658823529412,2.6441373276785827,3757.4539,1404,2,0,0
Adriatic Sea,1990,juin,7,0.009333333333333332,16,3.0267,2.807,46.0333,16,0,0,0
Adriatic Sea,1990,juil,7,0.009333333333333332,29,3.3979,3.0211440972222223,89.40090000000001,29,0,0,0
Adriatic Sea,1990,oct,31,0.04133333333333333,134,1.568185,1.4342122965367965,194.381,134,0,0,0
Adriatic Sea,1990,nov,51,0.068,246,1.95758125,1.6540596624555999,414.415,244,2,0,0
Adriatic Sea,1990,déc,2,0.0026666666666666666,7,1.9127999999999998,1.7993350000000001,11.7166,7,0,0,0
Adriatic Sea,1991,mars,32,0.042666666666666665,169,2.361024,1.9906508372294371,336.45459999999997,169,0,0,0
Adriatic Sea,1991,avril,3,0.004,17,3.1252,2.525694166666667,42.5568,17,0,0,0
Adriatic Sea,1991,août,24,0.032,139,2.421358823529412,2.1529372973431795,302.52639999999997,139,0,0,0
Adriatic Sea,1991,sept,87,0.11599999999999999,502,2.060827777777778,1.775711067003571,906.1803,502,0,0,0
Adriatic Sea,1991,oct,32,0.042666666666666665,165,1.7431714285714286,1.5850762184628238,258.4174,165,0,0,0
Adriatic Sea,1992,juil,52,0.06933333333333333,133,2.1873566666666666,1.8939670728291316,260.0505,111,0,0,0
Adriatic Sea,1992,août,732,0.976,10360,2.970774626865672,2.072141365761733,21747.4874,10152,102,0,0
Adriatic Sea,1992,sept,562,0.7493333333333333,1274,2.179517293233083,1.854018174479939,2362.6208,1272,0,0,0
Adriatic Sea,1992,oct,233,0.31066666666666665,755,1.7888515624999999,1.5036195597408166,1159.4372,737,18,0,0
Adriatic Sea,1992,nov,367,0.48933333333333334,5884,2.359143010752688,1.6612090049456318,9160.6176,5617,188,0,0
Adriatic Sea,1992,déc,208,0.2773333333333333,1780,2.5607361111111113,1.8972689424764018,3389.9924,1646,125,0,0
Adriatic Sea,1993,janv,2,0.0026666666666666666,12,2.0148,1.7778,21.3336,12,0,0,0
Adriatic Sea,1993,mai,169,0.22533333333333333,1245,2.8397716417910446,2.454934213511592,3089.2237,1244,0,0,0
Adriatic Sea,1993,juin,59,0.07866666666666666,295,3.13585641025641,2.705806016287843,791.0488,295,0,0,0
Adriatic Sea,1993,août,1,0.0013333333333333333,5,1.8554,1.83156,9.1578,5,0,0,0
Adriatic Sea,1993,oct,4,0.005333333333333333,20,1.5131000000000001,1.4312866666666666,26.7748,20,0,0,0
Adriatic Sea,1993,nov,24,0.032,144,2.3166263157894735,2.0262038072423114,294.4132,144,0,0,0
Adriatic Sea,1993,déc,16,0.021333333333333333,87,2.0908846153846152,1.8650576923076922,163.063,87,0,0,0
Adriatic Sea,1994,janv,35,0.04666666666666666,256,1.8521478260869566,1.6286918340234644,420.0233,256,0,0,0
Adriatic Sea,1994,févr,20,0.026666666666666665,102,1.5502846153846155,1.3939731318681319,140.0617,102,0,0,0
Adriatic Sea,1994,mars,333,0.444,3147,1.926908653846154,1.4590045714314774,4683.7848,3073,50,0,0
Adriatic Sea,1994,avril,261,0.348,708,1.740669387755102,1.4791694680601357,1070.7518,704,4,0,0
