Ecoregion,year,mme_record,mme_prop,duration
Northwestern Mediterranean,2015,36,78.33333333333334,66.12153877009797
Northwestern Mediterranean,2016,62,68.38709677419355,49.33425830540143
Northwestern Mediterranean,2017,168,70.5952380952381,60.22965889868812
Northwestern Mediterranean,2018,246,92.76422764227642,77.09218225236366
Northwestern Mediterranean,2019,124,64.35483870967741,55.664608219328514
